episode,episode_length,episode_reward,learning_rate
0,21,-1.0,0.0003
1,20,1.0,0.0003
2,21,-1.0,0.0003
3,21,1.0,0.0003
4,20,1.0,0.0003
5,19,-1.0,0.0003
6,24,-1.0,0.0003
7,19,-1.0,0.0003
8,25,1.0,0.0003
9,24,1.0,0.0003
10,16,1.0,0.0003
11,21,-1.0,0.0003
12,19,1.0,0.0003
13,25,-1.0,0.0003
14,23,1.0,0.0003
15,24,-1.0,0.0003
16,21,-1.0,0.0003
17,23,1.0,0.0003
18,20,1.0,0.0003
19,20,-1.0,0.0003
20,21,1.0,0.0003
21,25,-1.0,0.0003
22,18,-1.0,0.0003
23,23,1.0,0.0003
24,23,1.0,0.0003
25,23,1.0,0.0003
26,15,1.0,0.0003
27,19,1.0,0.0003
28,19,1.0,0.0003
29,22,-1.0,0.0003
30,21,1.0,0.0003
31,24,-1.0,0.0003
32,22,-1.0,0.0003
33,25,-1.0,0.0003
34,19,-1.0,0.0003
35,25,-1.0,0.0003
36,22,-1.0,0.0003
37,24,1.0,0.0003
38,20,-1.0,0.0003
39,23,1.0,0.0003
40,18,-1.0,0.0003
41,25,-1.0,0.0003
42,23,1.0,0.0003
43,22,-1.0,0.0003
44,22,1.0,0.0003
45,19,-1.0,0.0003
46,20,1.0,0.0003
47,24,1.0,0.0003
48,14,1.0,0.0003
49,25,-1.0,0.0003
50,15,1.0,0.0003
51,20,-1.0,0.0003
52,15,1.0,0.0003
53,20,1.0,0.0003
54,22,-1.0,0.0003
55,20,-1.0,0.0003
56,23,1.0,0.0003
57,24,-1.0,0.0003
58,23,1.0,0.0003
59,24,-1.0,0.0003
60,20,-1.0,0.0003
61,24,-1.0,0.0003
62,24,1.0,0.0003
63,24,-1.0,0.0003
64,23,-1.0,0.0003
65,23,1.0,0.0003
66,25,1.0,0.0003
67,24,1.0,0.0003
68,23,1.0,0.0003
69,24,-1.0,0.0003
70,21,1.0,0.0003
71,25,-1.0,0.0003
72,16,1.0,0.0003
73,22,-1.0,0.0003
74,23,-1.0,0.0003
75,24,1.0,0.0003
76,23,1.0,0.0003
77,22,1.0,0.0003
78,19,1.0,0.0003
79,21,1.0,0.0003
80,16,1.0,0.0003
81,19,-1.0,0.0003
82,20,-1.0,0.0003
83,23,-1.0,0.0003
84,15,-1.0,0.0003
85,25,-1.0,0.0003
86,22,1.0,0.0003
87,22,-1.0,0.0003
88,12,1.0,0.0003
