episode,episode_length,episode_reward,learning_rate
0,7,1.0,0.0003
1,23,1.0,0.0003
2,9,1.0,0.0003
3,22,1.0,0.0003
4,8,1.0,0.0003
5,18,1.0,0.0003
6,7,1.0,0.0003
7,23,1.0,0.0003
8,17,1.0,0.0003
9,25,-1.0,0.0003
10,7,1.0,0.0003
11,23,1.0,0.0003
12,14,1.0,0.0003
13,22,1.0,0.0003
14,7,1.0,0.0003
15,24,-1.0,0.0003
16,9,1.0,0.0003
17,25,-1.0,0.0003
18,8,1.0,0.0003
19,25,-1.0,0.0003
20,9,1.0,0.0003
21,24,1.0,0.0003
22,9,1.0,0.0003
23,23,1.0,0.0003
24,9,1.0,0.0003
25,18,1.0,0.0003
26,7,1.0,0.0003
27,21,1.0,0.0003
28,7,1.0,0.0003
29,21,1.0,0.0003
30,13,1.0,0.0003
31,22,1.0,0.0003
32,12,1.0,0.0003
33,21,1.0,0.0003
34,8,1.0,0.0003
35,22,1.0,0.0003
36,8,1.0,0.0003
37,21,1.0,0.0003
38,8,1.0,0.0003
39,24,1.0,0.0003
40,9,1.0,0.0003
41,21,1.0,0.0003
42,11,1.0,0.0003
43,22,1.0,0.0003
44,8,1.0,0.0003
45,21,1.0,0.0003
46,8,1.0,0.0003
47,24,1.0,0.0003
48,12,1.0,0.0003
49,23,1.0,0.0003
50,7,1.0,0.0003
51,25,-1.0,0.0003
52,23,1.0,0.0003
53,20,1.0,0.0003
54,7,1.0,0.0003
55,24,1.0,0.0003
56,7,1.0,0.0003
57,15,1.0,0.0003
58,7,1.0,0.0003
59,25,-1.0,0.0003
60,8,1.0,0.0003
61,16,1.0,0.0003
62,13,1.0,0.0003
63,22,1.0,0.0003
64,8,1.0,0.0003
65,14,1.0,0.0003
66,16,1.0,0.0003
67,24,1.0,0.0003
68,9,1.0,0.0003
69,22,-1.0,0.0003
70,8,1.0,0.0003
71,22,1.0,0.0003
72,9,1.0,0.0003
73,23,1.0,0.0003
74,9,1.0,0.0003
75,25,-1.0,0.0003
76,8,1.0,0.0003
77,22,1.0,0.0003
78,8,1.0,0.0003
79,20,1.0,0.0003
80,7,1.0,0.0003
81,23,1.0,0.0003
82,9,1.0,0.0003
83,25,-1.0,0.0003
84,7,1.0,0.0003
85,23,1.0,0.0003
86,9,1.0,0.0003
87,25,-1.0,0.0003
88,8,1.0,0.0003
89,17,1.0,0.0003
90,8,1.0,0.0003
91,24,-1.0,0.0003
92,7,1.0,0.0003
93,23,1.0,0.0003
94,8,1.0,0.0003
95,20,-1.0,0.0003
96,8,1.0,0.0003
97,22,1.0,0.0003
98,7,1.0,0.0003
99,23,1.0,0.0003
