agent_path,black,white,total_wins
./fhtw_hex/langela_marcon/models/7x7/dojo/4/dql/2_256_conv/2024-06-25_02-14-55_ppo-36-group-0-51-group-1-51-group-2-55-group-3-67-group-4,108,117,225
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-52-39_ppo-2-15-group-0-70-group-1-118-group-2,104,120,224
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-21-35_ppo-36-group-0,98,124,222
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-23_01-13-25_ppo-12-group-0-30-group-0-30-group-1-32-group-2-38-group-0-51-group-1-118-group-2,105,117,222
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-58-04_ppo-30-group-0-30-group-1-32-group-2-38-group-0-59-group-1,108,112,220
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-27-38_ppo-5-failed-59-group-1-118-group-2,102,117,219
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-52-39_ppo-4-15-group-0-59-group-1,109,110,219
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_conv/2024-06-25_02-14-55_ppo-38-group-0-59-group-1,108,111,219
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-52-39_ppo-2-15-group-0-70-group-1,115,103,218
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_fc/2024-06-24_20-52-39_ppo-1-15-group-0,100,117,217
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-44-33_ppo-5-15-group-0-59-group-1,99,114,213
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-27-38_ppo-38-group-0-59-group-1-118-group-2,103,110,213
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/3_256_conv/2024-06-25_01-29-44_ppo-36-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,102,111,213
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-58-44_ppo-38-group-0-59-group-1,109,103,212
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_conv/2024-06-25_02-21-35_ppo-38-group-0-51-group-1-51-group-2-55-group-3,96,112,208
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-27-38_ppo-36-group-0-59-group-1-118-group-2,98,110,208
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_conv/2024-06-25_02-39-34_ppo-36-group-0-51-group-1-51-group-2-55-group-3,99,106,205
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_fc/2024-06-24_20-59-32_ppo-30-group-0-30-group-1-32-group-2-32-group-3-32-group-4-38-group-0-51-group-1-51-group-2-67-group-3-69-group-4-69-group-5,108,96,204
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-44-33_ppo-3-15-group-0-59-group-1-118-group-2,90,113,203
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_fc/2024-06-24_20-52-39_ppo-15-group-0,99,104,203
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-24_20-44-33_ppo-30-group-0-30-group-1-32-group-2,98,104,202
./fhtw_hex/langela_marcon/models/7x7/dql/3_256_conv/2024-06-25_09-39-13_dql,94,107,201
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-21-35_ppo-38-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,94,106,200
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-27-38_ppo-38-group-0-51-group-1-51-group-2,98,102,200
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_fc/2024-06-24_20-52-39_ppo-4-15-group-0,96,104,200
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-51-25_ppo-38-group-0-59-group-1-118-group-2,89,110,199
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-52-39_ppo-4-15-group-0-59-group-1-118-group-2,99,100,199
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_conv/2024-06-25_02-39-34_ppo,95,103,198
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-23_01-13-25_ppo-12-group-0-30-group-0-30-group-1-32-group-2-38-group-0-51-group-1-51-group-2,86,112,198
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-52-39_ppo-30-group-0-30-group-1-32-group-2-38-group-0-59-group-1,98,98,196
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-59-32_ppo-30-group-0-30-group-1-32-group-2-32-group-3-32-group-4-38-group-0-59-group-1,97,98,195
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-58-44_ppo-38-group-0-59-group-1-118-group-2,86,109,195
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-14-55_ppo-38-group-0-51-group-1-51-group-2,84,109,193
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-45-35_ppo-38-group-0-59-group-1,102,90,192
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_fc/2024-06-24_20-51-45_ppo-2-15-group-0,97,93,190
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-14-55_ppo-36-group-0-51-group-1-51-group-2,86,104,190
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-51-45_ppo-2-15-group-0-59-group-1,91,99,190
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/3_256_conv/2024-06-25_01-29-44_ppo-15-group-0,85,104,189
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-33-35_ppo-38-group-0-51-group-1-118-group-2,89,100,189
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/3_256_conv/2024-06-25_01-29-44_ppo-36-group-0-51-group-1-51-group-2,90,97,187
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-14-55_ppo-36-group-0,87,100,187
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-33-35_ppo-38-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,83,103,186
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-39-34_ppo-38-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,92,94,186
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-51-25_ppo-38-group-0-51-group-1-51-group-2-61-group-3-67-group-4-69-group-5,94,92,186
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_21-00-29_ppo-38-group-0-51-group-1,86,95,181
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/3_256_conv/2024-06-25_01-29-44_ppo-36-group-0-70-group-1,79,102,181
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_21-00-29_ppo-38-group-0-70-group-1,91,90,181
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_conv/2024-06-25_02-14-55_ppo-38-group-0-51-group-1-51-group-2-55-group-3,84,95,179
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-23_01-13-25_ppo-12-group-0-30-group-0-30-group-1-32-group-2-38-group-0-59-group-1,84,95,179
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-14-55_ppo-38-group-0-51-group-1-118-group-2,84,95,179
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-33-35_ppo-36-group-0-51-group-1-51-group-2,77,101,178
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_conv/2024-06-25_02-39-34_ppo-36-group-0-51-group-1-51-group-2-55-group-3-67-group-4-69-group-5,83,95,178
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_fc/2024-06-22_23-39-23_ppo-14-group-0 copy-30-group-0-38-group-0-51-group-1-51-group-2-67-group-3,83,95,178
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_fc/2024-06-22_23-39-23_ppo-14-group-0 copy-30-group-0,74,103,177
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-44-33_ppo-38-group-0-59-group-1,84,92,176
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-39-34_ppo-38-group-0-51-group-1-51-group-2,79,97,176
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-51-25_ppo-38-group-0-51-group-1-51-group-2,85,91,176
./fhtw_hex/langela_marcon/models/7x7/dql/2_256_conv/2024-06-25_02-51-25_ppo,81,95,176
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-33-35_ppo-38-group-0-59-group-1-118-group-2,81,94,175
./fhtw_hex/langela_marcon/models/7x7/dojo/4/dql/3_256_conv/2024-06-25_01-29-44_ppo-38-group-0-failed-51-group-2-55-group-3-67-group-4,81,92,173
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-21-35_ppo-38-group-0,80,93,173
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-44-33_ppo-30-group-0-30-group-1-32-group-2-38-group-0-59-group-1,89,83,172
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-14-55_ppo-38-group-0-59-group-1-118-group-2,82,90,172
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-22_23-39-23_ppo-14-group-0 copy-30-group-0-38-group-0-51-group-1-118-group-2,80,92,172
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-52-39_ppo-38-group-0-59-group-1,100,72,172
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/3_256_conv/2024-06-25_01-29-44_ppo-38-group-0-failed-51-group-2-55-group-3-67-group-4-69-group-5,86,84,170
./fhtw_hex/langela_marcon/models/7x7/dojo/5/dql/2_256_fc/2024-06-22_23-39-23_ppo-14-group-0 copy-30-group-0-38-group-0-51-group-1-51-group-2-67-group-3-69-group-4-69-group-5,82,86,168
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/3_256_conv/2024-06-25_01-29-44_ppo-36-group-0-51-group-1-51-group-2-55-group-3,72,96,168
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-27-38_ppo-38-group-0,86,82,168
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-51-45_ppo-38-group-0-70-group-1,85,82,167
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_fc/2024-06-24_20-44-33_ppo-5-15-group-0,78,88,166
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-39-34_ppo-36-group-0,71,94,165
./fhtw_hex/langela_marcon/models/7x7/dojo/3/dql/2_256_conv/2024-06-25_02-39-34_ppo-38-group-0-51-group-1-51-group-2-55-group-3,76,87,163
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-33-35_ppo-36-group-0,82,81,163
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_conv/2024-06-25_02-27-38_ppo-38-group-0-59-group-1,74,89,163
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/3_256_conv/2024-06-25_01-29-44_ppo-38-group-0-failed-51-group-2,75,87,162
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_conv/2024-06-25_02-51-25_ppo-38-group-0-51-group-1-118-group-2,78,83,161
./fhtw_hex/langela_marcon/models/7x7/dojo/2/dql/2_256_fc/2024-06-24_20-59-32_ppo-30-group-0-30-group-1-32-group-2-32-group-3-32-group-4-38-group-0-59-group-1-118-group-2,83,77,160
./fhtw_hex/langela_marcon/models/7x7/dojo/0/dql/2_256_conv/2024-06-25_02-51-25_ppo-38-group-0,70,89,159
./fhtw_hex/langela_marcon/models/7x7/dojo/1/dql/2_256_fc/2024-06-24_20-58-04_ppo-38-group-0-59-group-1,80,77,157
