episode,episode_length,episode_reward,learning_rate
242,9,1.0,0.0003
243,24,-1.0,0.0003
244,8,1.0,0.0003
245,23,1.0,0.0003
246,17,1.0,0.0003
247,14,1.0,0.0003
248,7,1.0,0.0003
249,21,1.0,0.0003
250,13,1.0,0.0003
251,21,1.0,0.0003
252,10,1.0,0.0003
253,23,1.0,0.0003
254,9,1.0,0.0003
255,24,1.0,0.0003
256,7,1.0,0.0003
257,19,1.0,0.0003
258,9,1.0,0.0003
259,19,1.0,0.0003
260,10,1.0,0.0003
261,25,-1.0,0.0003
262,7,1.0,0.0003
263,25,-1.0,0.0003
264,8,1.0,0.0003
265,24,-1.0,0.0003
266,10,1.0,0.0003
267,22,-1.0,0.0003
268,8,1.0,0.0003
269,22,1.0,0.0003
270,7,1.0,0.0003
271,25,-1.0,0.0003
272,23,1.0,0.0003
273,22,1.0,0.0003
274,10,1.0,0.0003
275,23,1.0,0.0003
276,8,1.0,0.0003
277,24,1.0,0.0003
278,12,1.0,0.0003
279,24,1.0,0.0003
280,9,1.0,0.0003
281,23,1.0,0.0003
282,11,1.0,0.0003
283,21,1.0,0.0003
284,10,1.0,0.0003
285,25,-1.0,0.0003
286,9,1.0,0.0003
287,19,1.0,0.0003
288,8,1.0,0.0003
289,24,-1.0,0.0003
290,10,1.0,0.0003
291,20,1.0,0.0003
292,11,1.0,0.0003
293,21,1.0,0.0003
294,8,1.0,0.0003
295,21,1.0,0.0003
296,7,1.0,0.0003
297,24,1.0,0.0003
298,10,1.0,0.0003
299,23,1.0,0.0003
300,8,1.0,0.0003
301,20,1.0,0.0003
302,11,1.0,0.0003
303,25,-1.0,0.0003
304,7,1.0,0.0003
305,24,1.0,0.0003
306,9,1.0,0.0003
307,22,1.0,0.0003
308,9,1.0,0.0003
309,23,1.0,0.0003
310,9,1.0,0.0003
311,22,1.0,0.0003
312,12,1.0,0.0003
313,23,1.0,0.0003
314,7,1.0,0.0003
315,22,1.0,0.0003
316,9,1.0,0.0003
317,24,1.0,0.0003
318,7,1.0,0.0003
319,23,1.0,0.0003
320,9,1.0,0.0003
321,23,1.0,0.0003
322,9,1.0,0.0003
323,22,-1.0,0.0003
324,7,1.0,0.0003
325,20,1.0,0.0003
326,8,1.0,0.0003
327,25,-1.0,0.0003
328,7,1.0,0.0003
329,24,1.0,0.0003
330,11,1.0,0.0003
331,22,1.0,0.0003
332,10,1.0,0.0003
333,18,1.0,0.0003
334,8,1.0,0.0003
335,22,1.0,0.0003
336,11,1.0,0.0003
337,24,1.0,0.0003
338,11,1.0,0.0003
339,19,-1.0,0.0003
