episode,episode_length,episode_reward,learning_rate
0,23,-1.0,0.0003
1,23,-1.0,0.0003
2,23,-1.0,0.0003
3,24,-1.0,0.0003
4,17,1.0,0.0003
5,20,1.0,0.0003
6,22,-1.0,0.0003
7,19,-1.0,0.0003
8,24,1.0,0.0003
9,14,1.0,0.0003
10,19,1.0,0.0003
11,23,-1.0,0.0003
12,21,1.0,0.0003
13,18,-1.0,0.0003
14,22,1.0,0.0003
15,20,1.0,0.0003
16,23,-1.0,0.0003
17,23,1.0,0.0003
18,11,-1.0,0.0003
19,21,-1.0,0.0003
20,15,-1.0,0.0003
21,24,1.0,0.0003
22,23,1.0,0.0003
23,25,-1.0,0.0003
24,24,1.0,0.0003
25,24,1.0,0.0003
26,24,-1.0,0.0003
27,18,1.0,0.0003
28,19,-1.0,0.0003
29,24,-1.0,0.0003
30,15,-1.0,0.0003
31,23,-1.0,0.0003
32,21,1.0,0.0003
33,21,-1.0,0.0003
34,23,1.0,0.0003
35,18,1.0,0.0003
36,19,-1.0,0.0003
37,16,1.0,0.0003
38,19,1.0,0.0003
39,18,1.0,0.0003
40,21,-1.0,0.0003
41,24,1.0,0.0003
42,12,1.0,0.0003
43,22,-1.0,0.0003
44,14,-1.0,0.0003
45,25,-1.0,0.0003
46,24,-1.0,0.0003
47,24,-1.0,0.0003
48,14,1.0,0.0003
49,19,1.0,0.0003
50,23,-1.0,0.0003
51,23,-1.0,0.0003
52,18,1.0,0.0003
53,22,-1.0,0.0003
54,22,1.0,0.0003
55,17,-1.0,0.0003
56,21,-1.0,0.0003
57,23,-1.0,0.0003
58,17,1.0,0.0003
59,22,1.0,0.0003
60,21,-1.0,0.0003
61,17,1.0,0.0003
62,24,1.0,0.0003
63,21,1.0,0.0003
64,17,-1.0,0.0003
65,23,-1.0,0.0003
66,24,1.0,0.0003
67,25,-1.0,0.0003
68,19,1.0,0.0003
69,24,-1.0,0.0003
70,23,-1.0,0.0003
71,22,1.0,0.0003
72,20,1.0,0.0003
73,22,1.0,0.0003
74,24,1.0,0.0003
75,20,-1.0,0.0003
76,21,-1.0,0.0003
77,23,-1.0,0.0003
78,22,1.0,0.0003
79,23,1.0,0.0003
80,22,-1.0,0.0003
81,17,-1.0,0.0003
82,16,1.0,0.0003
83,21,-1.0,0.0003
84,16,1.0,0.0003
85,22,1.0,0.0003
86,22,1.0,0.0003
87,25,-1.0,0.0003
88,23,1.0,0.0003
89,17,-1.0,0.0003
90,24,-1.0,0.0003
91,19,1.0,0.0003
92,13,1.0,0.0003
93,21,1.0,0.0003
94,21,-1.0,0.0003
95,24,-1.0,0.0003
96,18,1.0,0.0003
97,24,-1.0,0.0003
98,25,1.0,0.0003
99,22,-1.0,0.0003
100,17,-1.0,0.0003
101,14,1.0,0.0003
102,22,-1.0,0.0003
103,24,1.0,0.0003
104,23,1.0,0.0003
105,21,-1.0,0.0003
106,18,-1.0,0.0003
107,23,-1.0,0.0003
108,22,1.0,0.0003
109,17,1.0,0.0003
110,24,1.0,0.0003
111,20,1.0,0.0003
112,22,-1.0,0.0003
113,21,-1.0,0.0003
114,25,1.0,0.0003
115,18,-1.0,0.0003
116,15,-1.0,0.0003
117,21,1.0,0.0003
118,23,-1.0,0.0003
119,23,1.0,0.0003
120,24,1.0,0.0003
121,23,1.0,0.0003
122,22,1.0,0.0003
123,23,1.0,0.0003
124,17,-1.0,0.0003
125,25,-1.0,0.0003
126,19,1.0,0.0003
127,14,-1.0,0.0003
128,10,-1.0,0.0003
129,23,-1.0,0.0003
130,24,-1.0,0.0003
131,16,1.0,0.0003
132,17,1.0,0.0003
133,23,1.0,0.0003
134,13,1.0,0.0003
135,23,1.0,0.0003
136,25,1.0,0.0003
137,21,1.0,0.0003
138,21,-1.0,0.0003
139,16,-1.0,0.0003
140,18,1.0,0.0003
141,17,-1.0,0.0003
142,23,-1.0,0.0003
143,19,-1.0,0.0003
144,23,1.0,0.0003
145,23,-1.0,0.0003
146,17,-1.0,0.0003
147,20,1.0,0.0003
148,18,1.0,0.0003
149,19,1.0,0.0003
150,16,-1.0,0.0003
151,24,1.0,0.0003
152,17,-1.0,0.0003
153,23,-1.0,0.0003
154,21,-1.0,0.0003
155,22,1.0,0.0003
156,18,-1.0,0.0003
157,18,1.0,0.0003
158,14,1.0,0.0003
159,22,1.0,0.0003
160,24,1.0,0.0003
161,21,-1.0,0.0003
162,17,-1.0,0.0003
163,24,-1.0,0.0003
164,14,1.0,0.0003
165,20,1.0,0.0003
166,20,-1.0,0.0003
167,24,1.0,0.0003
168,17,-1.0,0.0003
169,23,-1.0,0.0003
170,20,-1.0,0.0003
171,20,1.0,0.0003
172,22,-1.0,0.0003
173,23,1.0,0.0003
174,17,1.0,0.0003
175,23,-1.0,0.0003
176,21,1.0,0.0003
177,24,-1.0,0.0003
178,14,1.0,0.0003
179,22,-1.0,0.0003
180,10,1.0,0.0003
181,24,1.0,0.0003
182,20,-1.0,0.0003
183,20,1.0,0.0003
184,22,1.0,0.0003
185,25,-1.0,0.0003
186,16,1.0,0.0003
187,24,1.0,0.0003
188,21,1.0,0.0003
189,21,1.0,0.0003
190,23,-1.0,0.0003
191,18,1.0,0.0003
192,21,1.0,0.0003
193,22,-1.0,0.0003
194,21,1.0,0.0003
195,25,-1.0,0.0003
196,21,1.0,0.0003
197,23,1.0,0.0003
198,22,1.0,0.0003
199,21,1.0,0.0003
200,17,-1.0,0.0003
201,25,-1.0,0.0003
202,20,1.0,0.0003
203,24,1.0,0.0003
204,16,-1.0,0.0003
205,18,1.0,0.0003
206,25,1.0,0.0003
207,19,-1.0,0.0003
208,13,-1.0,0.0003
209,16,-1.0,0.0003
210,25,1.0,0.0003
211,18,-1.0,0.0003
212,23,1.0,0.0003
213,25,-1.0,0.0003
214,15,-1.0,0.0003
215,24,1.0,0.0003
216,19,-1.0,0.0003
217,24,-1.0,0.0003
218,24,-1.0,0.0003
219,22,1.0,0.0003
220,17,1.0,0.0003
221,22,1.0,0.0003
222,19,1.0,0.0003
223,21,-1.0,0.0003
224,21,-1.0,0.0003
225,20,-1.0,0.0003
226,20,-1.0,0.0003
227,22,1.0,0.0003
228,22,1.0,0.0003
229,24,1.0,0.0003
230,14,1.0,0.0003
231,17,1.0,0.0003
232,22,-1.0,0.0003
233,20,-1.0,0.0003
234,14,-1.0,0.0003
235,22,-1.0,0.0003
236,20,1.0,0.0003
237,18,1.0,0.0003
238,23,1.0,0.0003
239,21,1.0,0.0003
240,20,-1.0,0.0003
241,23,-1.0,0.0003
242,17,-1.0,0.0003
243,21,1.0,0.0003
244,15,-1.0,0.0003
245,25,-1.0,0.0003
246,19,1.0,0.0003
247,19,1.0,0.0003
248,12,-1.0,0.0003
249,25,-1.0,0.0003
250,25,1.0,0.0003
251,25,-1.0,0.0003
252,24,1.0,0.0003
253,19,1.0,0.0003
254,18,1.0,0.0003
255,20,-1.0,0.0003
256,25,1.0,0.0003
257,20,1.0,0.0003
