episode,episode_length,episode_reward,learning_rate
0,9,1.0,0.0003
1,25,-1.0,0.0003
2,14,1.0,0.0003
3,23,1.0,0.0003
4,9,1.0,0.0003
5,21,1.0,0.0003
6,7,1.0,0.0003
7,17,1.0,0.0003
8,8,1.0,0.0003
9,20,1.0,0.0003
10,9,1.0,0.0003
11,24,1.0,0.0003
12,9,1.0,0.0003
13,20,1.0,0.0003
14,9,1.0,0.0003
15,24,-1.0,0.0003
16,12,1.0,0.0003
17,23,-1.0,0.0003
18,9,1.0,0.0003
19,24,1.0,0.0003
20,7,1.0,0.0003
21,22,1.0,0.0003
22,8,1.0,0.0003
23,19,-1.0,0.0003
24,9,1.0,0.0003
25,24,1.0,0.0003
26,9,1.0,0.0003
27,24,1.0,0.0003
28,7,1.0,0.0003
29,19,1.0,0.0003
30,8,1.0,0.0003
31,23,-1.0,0.0003
32,7,1.0,0.0003
33,22,1.0,0.0003
34,9,1.0,0.0003
35,22,1.0,0.0003
36,7,1.0,0.0003
37,21,1.0,0.0003
38,8,1.0,0.0003
39,25,-1.0,0.0003
40,12,1.0,0.0003
41,19,1.0,0.0003
42,21,-1.0,0.0003
43,25,-1.0,0.0003
44,8,1.0,0.0003
45,23,1.0,0.0003
46,13,1.0,0.0003
47,23,1.0,0.0003
48,8,1.0,0.0003
49,23,1.0,0.0003
50,17,-1.0,0.0003
51,24,1.0,0.0003
52,7,1.0,0.0003
53,24,1.0,0.0003
54,10,1.0,0.0003
55,22,1.0,0.0003
56,11,1.0,0.0003
57,20,1.0,0.0003
58,10,1.0,0.0003
59,21,1.0,0.0003
60,7,1.0,0.0003
61,19,1.0,0.0003
62,24,-1.0,0.0003
63,21,1.0,0.0003
64,8,1.0,0.0003
65,25,-1.0,0.0003
66,10,1.0,0.0003
67,25,-1.0,0.0003
68,7,1.0,0.0003
69,11,1.0,0.0003
70,7,1.0,0.0003
71,22,1.0,0.0003
72,8,1.0,0.0003
73,21,1.0,0.0003
74,17,1.0,0.0003
75,23,1.0,0.0003
76,8,1.0,0.0003
77,22,1.0,0.0003
78,10,1.0,0.0003
79,23,-1.0,0.0003
80,9,1.0,0.0003
81,24,1.0,0.0003
82,7,1.0,0.0003
83,22,1.0,0.0003
84,9,1.0,0.0003
85,18,1.0,0.0003
86,9,1.0,0.0003
87,24,-1.0,0.0003
88,7,1.0,0.0003
89,20,-1.0,0.0003
90,7,1.0,0.0003
91,23,1.0,0.0003
92,8,1.0,0.0003
93,24,1.0,0.0003
94,19,1.0,0.0003
95,18,1.0,0.0003
96,8,1.0,0.0003
97,23,1.0,0.0003
98,11,1.0,0.0003
99,19,1.0,0.0003
100,7,1.0,0.0003
101,24,-1.0,0.0003
102,10,1.0,0.0003
103,25,-1.0,0.0003
104,8,1.0,0.0003
